,Start,End,Delta
0,07/10/25 16:44:40,07/10/25 17:12:46,0 days 00:28:06.699560
0,13/10/25 15:42:45,13/10/25 17:40:47,0 days 01:58:02.690100
0,14/10/25 11:36:26,14/10/25 12:45:17,0 days 01:08:51.090487
0,14/10/25 15:08:22,14/10/25 16:41:19,0 days 01:32:57.516362
0,28/10/25 17:41:53,28/10/25 18:19:36,0 days 00:37:43.554542
0,01/11/25 11:26:02,01/11/25 12:50:23,0 days 01:24:21.555226
0,03/11/25 17:23:02,03/11/25 18:51:47,0 days 01:28:45.232015
0,04/11/25 08:54:14,04/11/25 12:38:33,0 days 03:44:19.715751
0,04/11/25 14:12:07,04/11/25 17:21:35,0 days 03:09:28.632457
0,05/11/25 09:45:35,05/11/25 12:35:50,0 days 02:50:15.047075
0,05/11/25 14:32:28,05/11/25 16:14:13,0 days 01:41:45.582295
0,05/11/25 17:03:22,05/11/25 17:26:35,0 days 00:23:13.063192
