,Start,End,Delta
0,02/10/25 14:58:26,02/10/25 14:58:33,0 days 00:00:07.051089
0,02/10/25 14:58:38,02/10/25 16:34:42,0 days 01:36:04.792795
0,04/10/25 11:06:31,04/10/25 13:01:05,0 days 01:54:34.379815
0,06/10/25 09:15:02,06/10/25 10:55:00,0 days 01:39:58.764752
0,06/10/25 11:21:35,06/10/25 13:00:18,0 days 01:38:43.362549
0,06/10/25 22:43:12,06/10/25 23:35:31,0 days 00:52:19.712790
0,07/10/25 10:45:00,07/10/25 13:00:00,0 days 02:15:00.000000
0,10/10/25 14:22:10,10/10/25 18:45:10,0 days 04:23:00.795981
0,12/10/25 12:53:48,12/10/25 13:20:04,0 days 00:26:16.255865
0,14/10/25 16:41:22,14/10/25 19:41:22,0 days 03:00:00.000000
0,14/10/25 22:09:59,15/10/25 00:53:29,0 days 02:43:30.811062
0,09/11/25 12:44:55,09/11/25 14:12:38,0 days 01:27:43.317719
0,12/11/25 11:34:56,12/11/25 13:12:33,0 days 01:37:37.248715
0,12/11/25 14:41:33,12/11/25 14:59:56,0 days 00:18:23.746691
0,12/11/25 22:14:10,12/11/25 22:39:50,0 days 00:25:40.443299
0,13/11/25 15:09:04,13/11/25 16:09:25,0 days 01:00:21.190606
0,13/11/25 16:43:34,13/11/25 18:38:18,0 days 01:54:44.144771
0,08/12/25 09:22:00,08/12/25 13:33:23,0 days 04:11:23.948350
0,08/12/25 15:36:06,08/12/25 18:12:00,0 days 02:35:54.405673
0,09/12/25 16:14:34,09/12/25 18:27:37,0 days 02:13:03.075160
0,10/12/25 09:25:28,10/12/25 11:37:13,0 days 02:11:45.399042
0,15/12/25 15:04:20,15/12/25 18:30:38,0 days 03:26:18.486233
0,20/12/25 14:46:28,20/12/25 16:40:53,0 days 01:54:25.845973
0,20/12/25 17:03:36,20/12/25 19:14:26,0 days 02:10:50.922755
0,22/12/25 10:02:57,22/12/25 12:08:28,0 days 02:05:31.564668
0,22/12/25 14:34:18,22/12/25 16:37:35,0 days 02:03:17.143657
0,22/12/25 17:22:52,22/12/25 17:43:49,0 days 00:20:57.241015
0,26/12/25 11:24:05,26/12/25 13:13:23,0 days 01:49:18.069769
0,26/12/25 16:30:29,26/12/25 18:19:38,0 days 01:49:09.964262
0,29/12/25 17:14:49,29/12/25 19:04:40,0 days 01:49:51.930825
0,02/01/26 21:35:46,02/01/26 22:31:18,0 days 00:55:32.463942
