,Start,End,Delta
0,04/10/25 15:50:15,04/10/25 17:08:22,0 days 01:18:07.561371
0,07/10/25 09:28:46,07/10/25 10:10:39,0 days 00:41:53.573213
0,27/10/25 16:44:51,27/10/25 18:30:34,0 days 01:45:43.582797
0,28/10/25 09:24:57,28/10/25 11:17:47,0 days 01:52:50.259595
0,28/10/25 13:34:10,28/10/25 16:01:07,0 days 02:26:57.153580
0,28/10/25 16:35:09,28/10/25 17:23:10,0 days 00:48:01.346842
0,29/10/25 09:38:48,29/10/25 10:44:55,0 days 01:06:07.709618
0,29/10/25 11:30:30,29/10/25 12:25:08,0 days 00:54:38.597572
0,07/11/25 11:42:17,07/11/25 12:57:16,0 days 01:14:59.786434
0,07/11/25 14:19:41,07/11/25 16:39:38,0 days 02:19:57.905160
0,07/11/25 20:27:38,07/11/25 23:11:54,0 days 02:44:16.711757
0,17/11/25 11:28:54,17/11/25 12:35:53,0 days 01:06:59.294613
0,17/11/25 14:22:05,17/11/25 16:00:00,0 days 01:38:00.000000
0,18/11/25 09:06:25,18/11/25 11:10:16,0 days 02:03:51.129041
0,18/11/25 11:22:46,18/11/25 12:07:47,0 days 00:45:01.435888
0,18/11/25 14:44:56,18/11/25 16:15:39,0 days 01:30:43.072696
0,25/11/25 09:24:05,25/11/25 11:47:55,0 days 02:23:50.485848
0,25/11/25 16:36:47,25/11/25 18:24:28,0 days 01:47:41.961291
0,01/12/25 09:04:08,01/12/25 10:19:13,0 days 01:15:05.844672
0,02/12/25 15:34:25,02/12/25 17:17:25,0 days 01:43:00.726096
0,03/12/25 09:03:03,03/12/25 10:44:08,0 days 01:41:05.091260
0,03/12/25 11:06:35,03/12/25 12:37:05,0 days 01:30:30.764750
0,11/12/25 14:03:56,11/12/25 14:52:35,0 days 00:48:39.894665
0,21/12/25 09:04:00,21/12/25 11:19:58,0 days 02:15:58.614810
0,21/12/25 11:38:16,21/12/25 13:06:20,0 days 01:28:04.907765
0,21/12/25 15:46:31,21/12/25 17:25:56,0 days 01:39:25.581416
0,23/12/25 09:05:39,23/12/25 10:44:54,0 days 01:39:15.232158
0,26/12/25 15:10:14,26/12/25 16:30:24,0 days 01:20:10.902401
0,27/12/25 09:42:08,27/12/25 12:41:50,0 days 02:59:42.965837
0,27/12/25 14:51:37,27/12/25 16:17:44,0 days 01:26:07.479835
0,29/12/25 09:20:26,29/12/25 10:20:29,0 days 01:00:03.135598
0,29/12/25 10:41:09,29/12/25 12:59:48,0 days 02:18:39.160363
0,29/12/25 14:24:41,29/12/25 16:29:02,0 days 02:04:21.065937
