,Start,End,Delta
0,06/10/25 14:53:43,06/10/25 16:00:37,0 days 01:06:54.232609
0,06/10/25 23:35:35,07/10/25 00:23:35,0 days 00:48:00.434348
0,11/10/25 11:26:14,11/10/25 11:30:03,0 days 00:03:49.725527
0,12/10/25 11:51:21,12/10/25 12:50:20,0 days 00:58:59.830246
0,28/10/25 20:36:22,28/10/25 22:37:36,0 days 02:01:14.728438
0,31/10/25 09:44:46,31/10/25 14:54:12,0 days 05:09:26.487413
0,20/11/25 18:53:46,20/11/25 20:36:07,0 days 01:42:21.853487
0,21/11/25 10:08:46,21/11/25 11:51:09,0 days 01:42:23.263248
0,27/11/25 09:52:19,27/11/25 16:45:09,0 days 06:52:50.538619
0,02/12/25 09:54:27,02/12/25 11:37:58,0 days 01:43:31.433584
0,04/12/25 11:20:10,04/12/25 15:39:20,0 days 04:19:10.431642
0,12/12/25 10:45:05,12/12/25 17:48:13,0 days 07:03:08.625435
