,Start,End,Delta
0,03/10/25 20:42:40,03/10/25 22:16:31,0 days 01:33:51.215879
0,07/10/25 14:21:46,07/10/25 16:35:07,0 days 02:13:21.031137
0,11/10/25 11:30:52,11/10/25 12:47:26,0 days 01:16:34.737329
0,11/10/25 14:48:01,11/10/25 15:15:27,0 days 00:27:26.714965
0,11/10/25 17:28:41,11/10/25 17:31:22,0 days 00:02:41.439789
0,13/10/25 09:47:21,13/10/25 10:30:15,0 days 00:42:54.333398
0,13/10/25 10:49:14,13/10/25 12:45:02,0 days 01:55:48.547317
0,18/10/25 09:51:09,18/10/25 13:28:14,0 days 03:37:05.481742
0,19/10/25 11:46:34,19/10/25 13:34:34,0 days 01:48:00.193972
0,30/10/25 16:08:19,30/10/25 19:46:22,0 days 03:38:03.365494
0,30/10/25 20:35:53,30/10/25 22:19:19,0 days 01:43:26.044898
0,23/11/25 12:03:32,23/11/25 12:50:20,0 days 00:46:48.653560
0,24/11/25 09:09:36,24/11/25 11:00:53,0 days 01:51:17.169031
0,24/11/25 11:30:54,24/11/25 13:06:59,0 days 01:36:05.963860
0,24/11/25 14:26:51,24/11/25 15:59:58,0 days 01:33:07.457210
0,26/11/25 09:16:46,26/11/25 11:02:39,0 days 01:45:53.576124
0,26/11/25 11:52:20,26/11/25 16:26:48,0 days 04:34:28.344335
0,03/12/25 15:12:09,03/12/25 18:18:06,0 days 3:05:57.665146
0,10/12/25 14:51:06,10/12/25 17:30:28,0 days 02:39:22.414008
0,22/12/25 20:54:13,22/12/25 21:37:42,0 days 00:43:29.564811
0,23/12/25 16:06:09,23/12/25 17:50:09,0 days 01:44:00.258623
0,24/12/25 11:06:58,24/12/25 11:53:40,0 days 00:46:42.774314
0,24/12/25 14:06:20,24/12/25 14:45:39,0 days 00:39:19.301113
