,Unnamed: 0,Start,End,Delta,Course
45,0,2025-10-02 14:58:26,02/10/25 14:58:33,0 days 00:00:07.051089,Bioinformatics.csv
46,0,2025-10-02 14:58:38,02/10/25 16:34:42,0 days 01:36:04.792795,Bioinformatics.csv
88,0,2025-10-03 20:42:40,03/10/25 22:16:31,0 days 01:33:51.215879,SystèmesInformatiques.csv
47,0,2025-10-04 11:06:31,04/10/25 13:01:05,0 days 01:54:34.379815,Bioinformatics.csv
12,0,2025-10-04 15:50:15,04/10/25 17:08:22,0 days 01:18:07.561371,PhysiqueDesDispositifs.csv
48,0,2025-10-06 09:15:02,06/10/25 10:55:00,0 days 01:39:58.764752,Bioinformatics.csv
49,0,2025-10-06 11:21:35,06/10/25 13:00:18,0 days 01:38:43.362549,Bioinformatics.csv
0,0,2025-10-06 14:53:43,06/10/25 16:00:37,0 days 01:06:54.232609,SoftwareEngineerProject.csv
50,0,2025-10-06 22:43:12,06/10/25 23:35:31,0 days 00:52:19.712790,Bioinformatics.csv
1,0,2025-10-06 23:35:35,07/10/25 00:23:35,0 days 00:48:00.434348,SoftwareEngineerProject.csv
13,0,2025-10-07 09:28:46,07/10/25 10:10:39,0 days 00:41:53.573213,PhysiqueDesDispositifs.csv
51,0,2025-10-07 10:45:00,07/10/25 13:00:00,0 days 02:15:00.000000,Bioinformatics.csv
89,0,2025-10-07 14:21:46,07/10/25 16:35:07,0 days 02:13:21.031137,SystèmesInformatiques.csv
76,0,2025-10-07 16:44:40,07/10/25 17:12:46,0 days 00:28:06.699560,Algorithmique.csv
52,0,2025-10-10 14:22:10,10/10/25 18:45:10,0 days 04:23:00.795981,Bioinformatics.csv
2,0,2025-10-11 11:26:14,11/10/25 11:30:03,0 days 00:03:49.725527,SoftwareEngineerProject.csv
90,0,2025-10-11 11:30:52,11/10/25 12:47:26,0 days 01:16:34.737329,SystèmesInformatiques.csv
91,0,2025-10-11 14:48:01,11/10/25 15:15:27,0 days 00:27:26.714965,SystèmesInformatiques.csv
92,0,2025-10-11 17:28:41,11/10/25 17:31:22,0 days 00:02:41.439789,SystèmesInformatiques.csv
3,0,2025-10-12 11:51:21,12/10/25 12:50:20,0 days 00:58:59.830246,SoftwareEngineerProject.csv
53,0,2025-10-12 12:53:48,12/10/25 13:20:04,0 days 00:26:16.255865,Bioinformatics.csv
93,0,2025-10-13 09:47:21,13/10/25 10:30:15,0 days 00:42:54.333398,SystèmesInformatiques.csv
94,0,2025-10-13 10:49:14,13/10/25 12:45:02,0 days 01:55:48.547317,SystèmesInformatiques.csv
77,0,2025-10-13 15:42:45,13/10/25 17:40:47,0 days 01:58:02.690100,Algorithmique.csv
78,0,2025-10-14 11:36:26,14/10/25 12:45:17,0 days 01:08:51.090487,Algorithmique.csv
79,0,2025-10-14 15:08:22,14/10/25 16:41:19,0 days 01:32:57.516362,Algorithmique.csv
54,0,2025-10-14 16:41:22,14/10/25 19:41:22,0 days 03:00:00.000000,Bioinformatics.csv
55,0,2025-10-14 22:09:59,15/10/25 00:53:29,0 days 02:43:30.811062,Bioinformatics.csv
95,0,2025-10-18 09:51:09,18/10/25 13:28:14,0 days 03:37:05.481742,SystèmesInformatiques.csv
96,0,2025-10-19 11:46:34,19/10/25 13:34:34,0 days 01:48:00.193972,SystèmesInformatiques.csv
14,0,2025-10-27 16:44:51,27/10/25 18:30:34,0 days 01:45:43.582797,PhysiqueDesDispositifs.csv
15,0,2025-10-28 09:24:57,28/10/25 11:17:47,0 days 01:52:50.259595,PhysiqueDesDispositifs.csv
16,0,2025-10-28 13:34:10,28/10/25 16:01:07,0 days 02:26:57.153580,PhysiqueDesDispositifs.csv
17,0,2025-10-28 16:35:09,28/10/25 17:23:10,0 days 00:48:01.346842,PhysiqueDesDispositifs.csv
80,0,2025-10-28 17:41:53,28/10/25 18:19:36,0 days 00:37:43.554542,Algorithmique.csv
4,0,2025-10-28 20:36:22,28/10/25 22:37:36,0 days 02:01:14.728438,SoftwareEngineerProject.csv
18,0,2025-10-29 09:38:48,29/10/25 10:44:55,0 days 01:06:07.709618,PhysiqueDesDispositifs.csv
19,0,2025-10-29 11:30:30,29/10/25 12:25:08,0 days 00:54:38.597572,PhysiqueDesDispositifs.csv
97,0,2025-10-30 16:08:19,30/10/25 19:46:22,0 days 03:38:03.365494,SystèmesInformatiques.csv
98,0,2025-10-30 20:35:53,30/10/25 22:19:19,0 days 01:43:26.044898,SystèmesInformatiques.csv
5,0,2025-10-31 09:44:46,31/10/25 14:54:12,0 days 05:09:26.487413,SoftwareEngineerProject.csv
81,0,2025-11-01 11:26:02,01/11/25 12:50:23,0 days 01:24:21.555226,Algorithmique.csv
82,0,2025-11-03 17:23:02,03/11/25 18:51:47,0 days 01:28:45.232015,Algorithmique.csv
83,0,2025-11-04 08:54:14,04/11/25 12:38:33,0 days 03:44:19.715751,Algorithmique.csv
84,0,2025-11-04 14:12:07,04/11/25 17:21:35,0 days 03:09:28.632457,Algorithmique.csv
85,0,2025-11-05 09:45:35,05/11/25 12:35:50,0 days 02:50:15.047075,Algorithmique.csv
86,0,2025-11-05 14:32:28,05/11/25 16:14:13,0 days 01:41:45.582295,Algorithmique.csv
87,0,2025-11-05 17:03:22,05/11/25 17:26:35,0 days 00:23:13.063192,Algorithmique.csv
20,0,2025-11-07 11:42:17,07/11/25 12:57:16,0 days 01:14:59.786434,PhysiqueDesDispositifs.csv
21,0,2025-11-07 14:19:41,07/11/25 16:39:38,0 days 02:19:57.905160,PhysiqueDesDispositifs.csv
22,0,2025-11-07 20:27:38,07/11/25 23:11:54,0 days 02:44:16.711757,PhysiqueDesDispositifs.csv
56,0,2025-11-09 12:44:55,09/11/25 14:12:38,0 days 01:27:43.317719,Bioinformatics.csv
57,0,2025-11-12 11:34:56,12/11/25 13:12:33,0 days 01:37:37.248715,Bioinformatics.csv
58,0,2025-11-12 14:41:33,12/11/25 14:59:56,0 days 00:18:23.746691,Bioinformatics.csv
59,0,2025-11-12 22:14:10,12/11/25 22:39:50,0 days 00:25:40.443299,Bioinformatics.csv
60,0,2025-11-13 15:09:04,13/11/25 16:09:25,0 days 01:00:21.190606,Bioinformatics.csv
61,0,2025-11-13 16:43:34,13/11/25 18:38:18,0 days 01:54:44.144771,Bioinformatics.csv
23,0,2025-11-17 11:28:54,17/11/25 12:35:53,0 days 01:06:59.294613,PhysiqueDesDispositifs.csv
24,0,2025-11-17 14:22:05,17/11/25 16:00:00,0 days 01:38:00.000000,PhysiqueDesDispositifs.csv
25,0,2025-11-18 09:06:25,18/11/25 11:10:16,0 days 02:03:51.129041,PhysiqueDesDispositifs.csv
26,0,2025-11-18 11:22:46,18/11/25 12:07:47,0 days 00:45:01.435888,PhysiqueDesDispositifs.csv
27,0,2025-11-18 14:44:56,18/11/25 16:15:39,0 days 01:30:43.072696,PhysiqueDesDispositifs.csv
6,0,2025-11-20 18:53:46,20/11/25 20:36:07,0 days 01:42:21.853487,SoftwareEngineerProject.csv
7,0,2025-11-21 10:08:46,21/11/25 11:51:09,0 days 01:42:23.263248,SoftwareEngineerProject.csv
99,0,2025-11-23 12:03:32,23/11/25 12:50:20,0 days 00:46:48.653560,SystèmesInformatiques.csv
100,0,2025-11-24 09:09:36,24/11/25 11:00:53,0 days 01:51:17.169031,SystèmesInformatiques.csv
101,0,2025-11-24 11:30:54,24/11/25 13:06:59,0 days 01:36:05.963860,SystèmesInformatiques.csv
102,0,2025-11-24 14:26:51,24/11/25 15:59:58,0 days 01:33:07.457210,SystèmesInformatiques.csv
28,0,2025-11-25 09:24:05,25/11/25 11:47:55,0 days 02:23:50.485848,PhysiqueDesDispositifs.csv
29,0,2025-11-25 16:36:47,25/11/25 18:24:28,0 days 01:47:41.961291,PhysiqueDesDispositifs.csv
103,0,2025-11-26 09:16:46,26/11/25 11:02:39,0 days 01:45:53.576124,SystèmesInformatiques.csv
104,0,2025-11-26 11:52:20,26/11/25 16:26:48,0 days 04:34:28.344335,SystèmesInformatiques.csv
8,0,2025-11-27 09:52:19,27/11/25 16:45:09,0 days 06:52:50.538619,SoftwareEngineerProject.csv
30,0,2025-12-01 09:04:08,01/12/25 10:19:13,0 days 01:15:05.844672,PhysiqueDesDispositifs.csv
9,0,2025-12-02 09:54:27,02/12/25 11:37:58,0 days 01:43:31.433584,SoftwareEngineerProject.csv
31,0,2025-12-02 15:34:25,02/12/25 17:17:25,0 days 01:43:00.726096,PhysiqueDesDispositifs.csv
32,0,2025-12-03 09:03:03,03/12/25 10:44:08,0 days 01:41:05.091260,PhysiqueDesDispositifs.csv
33,0,2025-12-03 11:06:35,03/12/25 12:37:05,0 days 01:30:30.764750,PhysiqueDesDispositifs.csv
105,0,2025-12-03 15:12:09,03/12/25 18:18:06,0 days 3:05:57.665146,SystèmesInformatiques.csv
10,0,2025-12-04 11:20:10,04/12/25 15:39:20,0 days 04:19:10.431642,SoftwareEngineerProject.csv
62,0,2025-12-08 09:22:00,08/12/25 13:33:23,0 days 04:11:23.948350,Bioinformatics.csv
63,0,2025-12-08 15:36:06,08/12/25 18:12:00,0 days 02:35:54.405673,Bioinformatics.csv
64,0,2025-12-09 16:14:34,09/12/25 18:27:37,0 days 02:13:03.075160,Bioinformatics.csv
65,0,2025-12-10 09:25:28,10/12/25 11:37:13,0 days 02:11:45.399042,Bioinformatics.csv
106,0,2025-12-10 14:51:06,10/12/25 17:30:28,0 days 02:39:22.414008,SystèmesInformatiques.csv
34,0,2025-12-11 14:03:56,11/12/25 14:52:35,0 days 00:48:39.894665,PhysiqueDesDispositifs.csv
11,0,2025-12-12 10:45:05,12/12/25 17:48:13,0 days 07:03:08.625435,SoftwareEngineerProject.csv
66,0,2025-12-15 15:04:20,15/12/25 18:30:38,0 days 03:26:18.486233,Bioinformatics.csv
67,0,2025-12-20 14:46:28,20/12/25 16:40:53,0 days 01:54:25.845973,Bioinformatics.csv
68,0,2025-12-20 17:03:36,20/12/25 19:14:26,0 days 02:10:50.922755,Bioinformatics.csv
35,0,2025-12-21 09:04:00,21/12/25 11:19:58,0 days 02:15:58.614810,PhysiqueDesDispositifs.csv
36,0,2025-12-21 11:38:16,21/12/25 13:06:20,0 days 01:28:04.907765,PhysiqueDesDispositifs.csv
37,0,2025-12-21 15:46:31,21/12/25 17:25:56,0 days 01:39:25.581416,PhysiqueDesDispositifs.csv
69,0,2025-12-22 10:02:57,22/12/25 12:08:28,0 days 02:05:31.564668,Bioinformatics.csv
70,0,2025-12-22 14:34:18,22/12/25 16:37:35,0 days 02:03:17.143657,Bioinformatics.csv
71,0,2025-12-22 17:22:52,22/12/25 17:43:49,0 days 00:20:57.241015,Bioinformatics.csv
107,0,2025-12-22 20:54:13,22/12/25 21:37:42,0 days 00:43:29.564811,SystèmesInformatiques.csv
38,0,2025-12-23 09:05:39,23/12/25 10:44:54,0 days 01:39:15.232158,PhysiqueDesDispositifs.csv
108,0,2025-12-23 16:06:09,23/12/25 17:50:09,0 days 01:44:00.258623,SystèmesInformatiques.csv
109,0,2025-12-24 11:06:58,24/12/25 11:53:40,0 days 00:46:42.774314,SystèmesInformatiques.csv
110,0,2025-12-24 14:06:20,24/12/25 14:45:39,0 days 00:39:19.301113,SystèmesInformatiques.csv
72,0,2025-12-26 11:24:05,26/12/25 13:13:23,0 days 01:49:18.069769,Bioinformatics.csv
39,0,2025-12-26 15:10:14,26/12/25 16:30:24,0 days 01:20:10.902401,PhysiqueDesDispositifs.csv
73,0,2025-12-26 16:30:29,26/12/25 18:19:38,0 days 01:49:09.964262,Bioinformatics.csv
40,0,2025-12-27 09:42:08,27/12/25 12:41:50,0 days 02:59:42.965837,PhysiqueDesDispositifs.csv
41,0,2025-12-27 14:51:37,27/12/25 16:17:44,0 days 01:26:07.479835,PhysiqueDesDispositifs.csv
42,0,2025-12-29 09:20:26,29/12/25 10:20:29,0 days 01:00:03.135598,PhysiqueDesDispositifs.csv
43,0,2025-12-29 10:41:09,29/12/25 12:59:48,0 days 02:18:39.160363,PhysiqueDesDispositifs.csv
44,0,2025-12-29 14:24:41,29/12/25 16:29:02,0 days 02:04:21.065937,PhysiqueDesDispositifs.csv
74,0,2025-12-29 17:14:49,29/12/25 19:04:40,0 days 01:49:51.930825,Bioinformatics.csv
75,0,2026-01-02 21:35:46,02/01/26 22:31:18,0 days 00:55:32.463942,Bioinformatics.csv
