Course,Type,Session,Done
Thermodynamique,TP,TP1,NO
Thermodynamique,TP,TP2,NO
Thermodynamique,TP,TP3,NO
Thermodynamique,TP,TP4,NO
Thermodynamique,TP,TP5,NO
Thermodynamique,TP,TP6,NO
Thermodynamique,TP,TP7,NO
Thermodynamique,TP,TP8,NO
Thermodynamique,TP,TP9,NO
Thermodynamique,TP,TP10,NO
Thermodynamique,TP,TP11,NO
Thermodynamique,TP,TP12,NO
Thermodynamique,CM,CM1,NO
Thermodynamique,CM,CM2,NO
Thermodynamique,CM,CM3,NO
Thermodynamique,CM,CM4,NO
Thermodynamique,CM,CM5,NO
Thermodynamique,CM,CM6,NO
Thermodynamique,CM,CM7,NO
Thermodynamique,CM,CM8,NO
Thermodynamique,CM,CM9,NO
Thermodynamique,CM,CM10,NO
Thermodynamique,CM,CM11,NO
Thermodynamique,CM,CM12,NO
Thermodynamique,CM,CM13,NO
FabricationMécanique,TP,TP1,NO
FabricationMécanique,TP,TP2,NO
FabricationMécanique,TP,TP3,NO
FabricationMécanique,TP,TP4,NO
FabricationMécanique,TP,TP5,NO
FabricationMécanique,TP,TP6,NO
FabricationMécanique,TP,TP7,NO
FabricationMécanique,CM,CM1,NO
FabricationMécanique,CM,CM2,NO
FabricationMécanique,CM,CM3,NO
FabricationMécanique,CM,CM4,NO
FabricationMécanique,CM,CM5,NO
FabricationMécanique,CM,CM6,NO
FabricationMécanique,CM,CM7,NO
FabricationMécanique,CM,CM8,NO
FabricationMécanique,CM,CM9,NO
FabricationMécanique,CM,CM10,NO
FabricationMécanique,CM,CM11,NO
FabricationMécanique,CM,CM12,NO
FabricationMécanique,CM,CM13,NO
Télécommunications,TP,TP1,NO
Télécommunications,TP,TP2,NO
Télécommunications,TP,TP3,NO
Télécommunications,TP,TP4,NO
Télécommunications,TP,TP5,NO
Télécommunications,TP,TP6,NO
Télécommunications,TP,TP7,NO
Télécommunications,TP,TP8,NO
Télécommunications,TP,TP9,NO
Télécommunications,CM,CM1,NO
Télécommunications,CM,CM2,NO
Télécommunications,CM,CM3,NO
Télécommunications,CM,CM4,NO
Télécommunications,CM,CM5,NO
Télécommunications,CM,CM6,NO
Télécommunications,CM,CM7,NO
Télécommunications,CM,CM8,NO
Télécommunications,CM,CM9,NO
Télécommunications,CM,CM10,NO
Télécommunications,CM,CM11,NO
Télécommunications,CM,CM12,NO
Télécommunications,CM,CM13,NO
MécaniquedesMilieuxContinus,TP,TP1,NO
MécaniquedesMilieuxContinus,TP,TP2,NO
MécaniquedesMilieuxContinus,TP,TP3,NO
MécaniquedesMilieuxContinus,TP,TP4,NO
MécaniquedesMilieuxContinus,TP,TP5,NO
MécaniquedesMilieuxContinus,TP,TP6,NO
MécaniquedesMilieuxContinus,TP,TP7,NO
MécaniquedesMilieuxContinus,TP,TP8,NO
MécaniquedesMilieuxContinus,TP,TP9,NO
MécaniquedesMilieuxContinus,TP,TP10,NO
MécaniquedesMilieuxContinus,TP,TP11,NO
MécaniquedesMilieuxContinus,TP,TP12,NO
MécaniquedesMilieuxContinus,CM,CM1,NO
MécaniquedesMilieuxContinus,CM,CM2,NO
MécaniquedesMilieuxContinus,CM,CM3,NO
MécaniquedesMilieuxContinus,CM,CM4,NO
MécaniquedesMilieuxContinus,CM,CM5,NO
MécaniquedesMilieuxContinus,CM,CM6,NO
MécaniquedesMilieuxContinus,CM,CM7,NO
MécaniquedesMilieuxContinus,CM,CM8,NO
MécaniquedesMilieuxContinus,CM,CM9,NO
MécaniquedesMilieuxContinus,CM,CM10,NO
MécaniquedesMilieuxContinus,CM,CM11,NO
MécaniquedesMilieuxContinus,CM,CM12,NO
MécaniquedesMilieuxContinus,CM,CM13,NO
TEST,TP,TP1,YES
TEST,TP,TP2,YES
TEST,TP,TP3,YES
TEST,TP,TP4,YES
TEST,TP,TP5,YES
TEST,TP,TP6,YES
TEST,TP,TP7,YES
TEST,TP,TP8,YES
TEST,TP,TP9,YES
TEST,TP,TP10,YES
TEST,CM,CM1,YES
TEST,CM,CM2,YES
TEST,CM,CM3,YES
TEST,CM,CM4,YES
TEST,CM,CM5,YES
TEST,CM,CM6,YES
TEST,CM,CM7,YES
TEST,CM,CM8,YES
TEST,CM,CM9,YES
TEST,CM,CM10,YES
