,Start,End,Delta
0,23/02/25 17:39:35,23/02/25 17:39:39,0 days 00:00:04.056110
0,24/02/25 10:42:02,24/02/25 12:48:35,0 days 02:06:33.648640
0,24/02/25 13:53:46,24/02/25 14:30:51,0 days 00:37:05.454124
0,27/02/25 16:04:56,27/02/25 16:34:28,0 days 00:29:32.148648
0,03/03/25 19:34:27,03/03/25 21:00:18,0 days 01:25:51.080611
0,03/03/25 22:31:06,03/03/25 23:05:57,0 days 00:34:51.945142
0,04/03/25 10:37:07,04/03/25 12:37:24,0 days 02:00:17.221874
0,04/03/25 13:49:40,04/03/25 15:44:00,0 days 01:54:20.564371
0,04/03/25 16:24:00,04/03/25 16:50:38,0 days 00:26:38.268169
0,04/03/25 17:52:01,04/03/25 18:28:52,0 days 00:36:51.273933
0,04/03/25 22:44:03,04/03/25 23:08:17,0 days 00:24:14.016513
0,19/04/25 11:39:55,19/04/25 12:46:27,0 days 01:06:32.502629
0,19/04/25 15:16:49,19/04/25 16:58:00,0 days 01:41:11.582568
0,19/04/25 18:58:33,19/04/25 19:25:08,0 days 00:26:35.270803
0,21/04/25 08:45:53,21/04/25 11:51:40,0 days 03:05:47.217609
0,22/04/25 08:33:50,22/04/25 10:56:01,0 days 02:22:11.535182
0,22/04/25 12:06:20,22/04/25 14:31:09,0 days 02:24:49.385497
0,22/04/25 14:31:50,22/04/25 15:03:06,0 days 00:31:16.189041
0,22/04/25 16:23:35,22/04/25 17:32:20,0 days 01:08:45.074046
0,23/04/25 10:10:40,23/04/25 12:47:24,0 days 02:36:44.448739
0,23/04/25 14:42:15,23/04/25 15:15:50,0 days 00:33:35.447865
