,Start,End,Delta
0,15/02/25 12:36:41,15/02/25 13:14:38,0 days 00:37:57.623574
0,15/02/25 14:51:44,15/02/25 15:16:38,0 days 00:24:54.337553
0,15/02/25 15:58:20,15/02/25 16:44:50,0 days 00:46:30.915419
0,23/02/25 13:27:07,23/02/25 14:01:05,0 days 00:33:58.630313
0,03/03/25 08:48:44,03/03/25 13:44:49,0 days 04:56:05.570691
0,09/04/25 16:58:16,09/04/25 18:07:06,0 days 01:08:50.317030
0,10/04/25 11:00:15,10/04/25 12:38:13,0 days 01:37:58.163837
0,10/04/25 15:25:59,10/04/25 18:07:51,0 days 02:41:52.209038
0,27/04/25 15:19:23,27/04/25 16:49:09,0 days 01:29:46.249254
0,28/04/25 17:13:43,28/04/25 19:03:55,0 days 01:50:12.122511
0,02/05/25 11:26:48,02/05/25 13:38:57,0 days 02:12:09.642191
0,03/05/25 10:47:10,03/05/25 12:31:29,0 days 01:44:19.868083
0,05/05/25 10:23:13,05/05/25 13:26:23,0 days 03:03:10.160769
0,05/05/25 16:09:59,05/05/25 18:00:30,0 days 01:50:31.989263
0,05/05/25 18:52:31,05/05/25 19:08:58,0 days 00:16:27.573812
0,06/05/25 10:48:01,06/05/25 12:52:34,0 days 02:04:33.540471
0,06/05/25 14:39:35,06/05/25 17:06:31,0 days 02:26:56.327992
0,06/05/25 17:45:04,06/05/25 18:29:54,0 days 00:44:50.849277
0,08/05/25 11:19:50,08/05/25 11:58:00,0 days 00:38:10.658082
0,08/05/25 12:20:14,08/05/25 12:29:12,0 days 00:08:58.816951
0,08/05/25 13:24:44,08/05/25 14:59:35,0 days 01:34:51.688243
0,08/05/25 17:50:45,08/05/25 19:50:45,0 days 02:00:00.000000
0,10/05/25 11:11:41,10/05/25 12:17:37,0 days 01:05:56.350641
0,10/05/25 15:39:03,10/05/25 18:19:12,0 days 02:40:09.184986
0,10/05/25 18:54:24,10/05/25 18:58:43,0 days 00:04:19.907850
